,CGLSE (Gaussian),Uni (Gaussian),CGLSE (Cauchy),Uni (Cauchy)
0.1,0.001263749,0.003930139,0.000330257,0.714839972
0.1,0.001126661,0.014818925,0.00056302,0.763405098
0.1,0.000172836,0.002630507,0.000441937,0.756784595
0.1,0.00068975,0.009389209,0.000591256,0.764683932
0.1,0.000490355,0.012340769,0.000184968,0.722486557
0.1,0.003576024,0.013599651,0.0001933,0.721764745
0.1,0.000713007,0.009641521,0.000665893,0.768249576
0.1,0.002986395,0.004744308,2.60E-05,0.73126692
0.1,0.002114419,0.006175295,0.000540419,0.703526324
0.1,0.001041094,0.005609617,0.000466402,0.757753032
0.1,0.000518935,0.013037939,0.001105771,0.792456058
0.1,0.000523301,0.011976634,0.00011141,0.738205188
0.1,0.000321622,0.011488808,0.000249301,0.746325064
0.1,0.001466979,0.004079245,0.00092473,0.782761644
0.1,0.003067605,0.010758736,8.80E-05,0.727647207
0.1,0.000135157,0.011266313,0.000204861,0.721565769
0.1,0.001553577,0.011051346,0.000619852,0.766569933
0.1,0.003004889,0.01364276,0.001105257,0.792622125
0.1,0.000461179,0.001004674,0.000485743,0.706269834
0.1,0.001931933,0.002352369,0.000274244,0.747315327
0.1,9.27E-05,0.007539253,0.000423131,0.709730599
0.1,0.00047702,0.002114661,0.000789444,0.7757581
0.1,9.19E-05,0.006491254,0.000436872,0.708712979
0.1,6.39E-05,0.00280222,0.000103357,0.726577122
0.1,0.001885701,0.003590019,0.000703569,0.770871766
0.1,0.002134282,0.004306032,0.000138932,0.725184076
0.1,0.002545561,0.002128547,0.000534256,0.70386398
0.1,0.002524981,0.008057836,0.000187611,0.742661033
0.1,0.001717148,0.003663146,0.000221049,0.744852454
0.1,0.003602552,0.007298095,0.000778213,0.774818115
0.1,0.002032661,0.00669071,0.000844389,0.778555776
0.1,0.001524527,0.000210699,0.000232151,0.719871715
0.1,0.001038881,0.009720909,4.36E-05,0.729926685
0.1,0.000158312,0.011420437,0.000532747,0.70364841
0.1,0.001108962,0.000405456,0.000522179,0.704347426
0.1,0.000449118,0.005526595,0.000384269,0.753815662
0.1,0.000319687,0.000857176,0.000240627,0.745476421
0.1,0.000557357,0.007111029,0.000483092,0.706392328
0.1,0.000776348,0.011855381,0.000804357,0.776517722
0.1,0.003180394,0.006097601,0.000264313,0.718138302
0.1,0.002815417,0.013080207,0.000534812,0.703591124
0.1,0.003396452,0.00709049,0.00060548,0.765341524
0.1,0.004561644,0.008144599,0.000977894,0.785505571
0.1,0.002164488,0.01101238,0.001080629,0.79126304
0.1,0.000785217,0.01011252,0.000419639,0.710068567
0.1,0.002808109,0.001877362,2.82E-05,0.73364525
0.1,0.000182662,0.014215251,0.000286789,0.748150364
0.1,0.000510585,0.007401003,0.000976176,0.785462374
0.1,0.001223498,0.004354776,0.000261436,0.71853252
0.1,0.000440809,0.009404686,0.000156896,0.740609802
0.1,0.002834314,0.00273409,0.001091303,0.79187428
0.2,0.00533856,0.013639028,0.009905644,0.918535873
0.2,0.007434195,0.008912468,0.012921033,0.92596377
0.2,0.006472919,4.85E-05,0.011102675,0.921563824
0.2,0.003578768,0.008765121,0.017337142,0.9367458
0.2,0.002756224,0.006140831,0.009008529,0.916401767
0.2,0.001307394,0.017452083,0.013772888,0.927893857
0.2,0.001387817,0.008768728,0.0138645,0.928235865
0.2,0.001784969,0.022136064,0.00954323,0.91780713
0.2,0.016020569,0.002029137,0.015986216,0.933417239
0.2,0.017555713,0.022777146,0.009516176,0.917696766
0.2,0.002371556,0.027387496,0.018161374,0.938784502
0.2,0.009959408,0.008305407,0.011627186,0.922742839
0.2,0.013714362,0.010210589,0.010941883,0.920911636
0.2,0.000791828,0.010922142,0.016235971,0.934034748
0.2,0.00274666,0.015727103,0.015652364,0.932490583
0.2,0.000765445,0.000591748,0.010390202,0.919831923
0.2,0.004373365,0.021779464,0.012701014,0.925487185
0.2,0.004706169,0.029468252,0.014860377,0.930618312
0.2,0.013550554,0.000487122,0.0169497,0.935863456
0.2,0.005715092,0.002499333,0.010271402,0.919587572
0.2,0.005444277,0.009642861,0.017683636,0.937690466
0.2,0.007460397,0.011013408,0.009441318,0.917478836
0.2,0.002397472,0.002684787,0.01042782,0.919675959
0.2,0.0060099,0.001754681,0.016374864,0.934262317
0.2,0.00591108,0.013821321,0.012701132,0.925418845
0.2,0.006560677,0.003395316,0.009349999,0.917085916
0.2,0.008053276,0.010624386,0.012560969,0.925050089
0.2,0.006008394,0.010432549,0.017616162,0.937386699
0.2,0.004031631,0.022013379,0.014029316,0.928623095
0.2,0.002858212,0.012002205,0.0134491,0.927528427
0.2,0.010390608,0.007808716,0.01417599,0.929025843
0.2,0.003658576,0.000709011,0.009384205,0.91733223
0.2,0.006177481,0.00097916,0.010422093,0.919697928
0.2,0.003696942,0.011577202,0.016033173,0.933568288
0.2,0.009071872,0.013903784,0.009019432,0.916347194
0.2,0.003145635,0.002391418,0.01254731,0.925074412
0.2,0.009169409,0.009202429,0.012215153,0.924268345
0.2,0.010828464,0.000738916,0.017324188,0.936622942
0.2,0.012069471,0.015858958,0.009138293,0.91670075
0.2,0.004757794,0.015418055,0.016382329,0.93441814
0.2,0.006590939,0.009029469,0.018146408,0.938782351
0.2,0.011564231,0.004562743,0.017297877,0.936685576
0.2,0.007699872,0.011406216,0.014766136,0.930367482
0.2,0.005895448,0.011867913,0.018005541,0.938378772
0.2,0.000410972,0.009042499,0.013005753,0.925953046
0.2,0.008399388,0.018500925,0.015077421,0.931302668
0.2,0.003780051,0.0231298,0.017117522,0.936166588
0.2,0.000142029,0.007959011,0.011777302,0.922925434
0.2,0.009053252,0.019880259,0.009158902,0.916855601
0.2,0.017291413,0.017689054,0.010166349,0.919237919
0.2,0.002854551,0.016247524,0.015250575,0.931546028
0.2,0.001768063,0.004953409,0.014557603,0.929851922
0.2,0.004251581,0.005621385,0.015385169,0.931921811
0.2,0.003124708,0.002245427,0.010956581,0.921146231
0.2,0.004849264,0.014416604,0.010902427,0.921061883
0.2,0.011548882,0.005388026,0.015752057,0.932831585
0.2,0.010650756,0.002770921,0.011894877,0.923321279
0.2,0.00109608,0.008415319,0.009012753,0.916239871
0.2,0.001826204,0.016865898,0.014660097,0.930134635
0.2,0.013744939,0.001686061,0.018261051,0.939094719
0.2,0.00622377,0.00185658,0.012628163,0.925169775
0.2,0.0021981,0.009274758,0.013461255,0.927190398
0.2,0.008271548,0.019322276,0.017261511,0.936605998
0.2,0.01041593,0.00397964,0.011500385,0.922552692
0.2,0.007299356,0.010565372,0.010906138,0.92076201
0.2,0.001936515,0.004418156,0.015585463,0.932505416
0.2,0.012193459,0.016150731,0.018274884,0.938975152
0.2,0.000100454,0.017648228,0.009288908,0.917138289
0.2,0.001619997,0.015541856,0.013583939,0.927441988
0.2,0.007437265,0.024401795,0.009667097,0.917880487
0.2,0.016573355,0.021565037,0.016552729,0.934749515
0.2,0.006765599,0.004727232,0.009536637,0.917792142
0.2,0.001858419,0.014055219,0.011412116,0.922137506
0.2,0.00142829,0.004201821,0.016038203,0.933584378
0.2,0.005960646,0.010565254,0.01123567,0.921940508
0.2,0.006744559,0.014360792,0.009025005,0.916456556
0.2,0.002625153,0.003912625,0.013095105,0.926152434
0.2,0.008350072,0.005114621,0.013314395,0.926966317
0.2,0.00476632,0.013124283,0.016429425,0.934566543
0.2,0.003276762,0.002161454,0.016821363,0.935546277
0.2,0.002745874,0.003949807,0.010717187,0.920492007
0.2,0.013016474,0.010115328,0.011750786,0.923108401
0.2,0.003435303,0.017468328,0.00899946,0.916475707
0.2,0.012418771,0.023299079,0.009076874,0.916661723
0.2,0.003926412,0.012727692,0.014259948,0.929136786
0.2,0.003503283,0.007016726,0.013404617,0.926870828
0.2,0.008769353,0.011212024,0.009299604,0.916925795
0.2,0.005823812,0.002991198,0.016602933,0.934926047
0.2,0.005259867,0.003616625,0.010521593,0.920093531
0.2,0.003069634,0.000452305,0.009001611,0.916457049
0.2,0.012417636,0.020312148,0.01544883,0.932094969
0.2,0.014470525,0.021025783,0.01754758,0.937333765
0.2,0.00762314,0.01052543,0.018138114,0.938768335
0.2,0.000906358,0.002504617,0.009698252,0.917957576
0.2,0.013166503,0.023157983,0.012116095,0.924059202
0.2,0.004692061,0.004031907,0.013655713,0.92779558
0.2,0.007262387,0.029046166,0.017534341,0.937321781
0.2,0.005535283,0.010595752,0.010556057,0.920190679
0.2,0.00804811,0.006068045,0.012900738,0.925646027
0.2,0.00038418,0.000576371,0.018215508,0.938879852
0.3,0.008288702,0.003707525,0.095525966,0.921192445
0.3,0.01917505,0.009169285,0.074543046,0.866830292
0.3,0.005890772,0.002916453,0.086882984,0.899285082
0.3,0.005618954,0.007712772,0.043573067,0.786475302
0.3,0.022019781,0.012338538,0.101694835,0.937360298
0.3,0.012235276,0.038939003,0.068499501,0.851014873
0.3,0.021340665,0.011192758,0.067786667,0.849143589
0.3,0.000665794,0.028614562,0.097879861,0.927691414
0.3,0.016976943,0.027015759,0.052979131,0.810694662
0.3,0.01684833,0.016919091,0.098132903,0.928119715
0.3,0.015211751,0.034763985,0.037923942,0.771942885
0.3,0.011743876,0.000959824,0.083221454,0.889781628
0.3,0.02769211,0.023244571,0.088001409,0.901982169
0.3,0.00541464,0.023703135,0.051329497,0.806698541
0.3,0.001139638,0.00949829,0.055340449,0.816856397
0.3,0.018372553,0.04124662,0.091925806,0.91232557
0.3,0.002937365,0.007758078,0.075579185,0.870007904
0.3,0.008563121,0.011593516,0.060912097,0.83141473
0.3,0.002059384,0.022444734,0.046300899,0.793670093
0.3,0.020587619,0.011004707,0.092631538,0.914056
0.3,0.008006014,0.016051214,0.041149896,0.780320529
0.3,0.01570763,0.000193341,0.098410421,0.928921734
0.3,0.024931537,0.005995541,0.091598444,0.91131353
0.3,0.011955919,0.005904164,0.050274636,0.803639733
0.3,0.004237186,0.009110955,0.076055393,0.870736047
0.3,0.02150748,0.01014662,0.099326229,0.930981967
0.3,0.003617898,0.000700452,0.076587528,0.872634111
0.3,0.009383082,0.011498086,0.04170493,0.781658373
0.3,0.012699408,0.024473927,0.066741729,0.846582019
0.3,0.00463635,0.01957682,0.070308393,0.856515104
0.3,0.003655656,0.007079942,0.065696994,0.84376661
0.3,0.004296099,0.011192683,0.098973827,0.93045668
0.3,0.004652887,0.011192515,0.091760779,0.911802324
0.3,0.010312518,0.007584649,0.052678537,0.810059415
0.3,0.010106493,0.017158355,0.101483813,0.9367688
0.3,0.004858772,0.023104263,0.077130659,0.873531642
0.3,0.004709072,0.001569056,0.079036715,0.878863844
0.3,0.020058528,0.001179437,0.043727653,0.786859059
0.3,0.007211343,0.006723389,0.100817638,0.935006533
0.3,0.028969242,0.018175476,0.050278389,0.803777364
0.3,0.013346889,0.003700885,0.038029561,0.77230671
0.3,0.019404746,0.002644492,0.043753849,0.786927894
0.3,0.010193214,0.001499848,0.061608375,0.833168621
0.3,0.00610827,0.018100604,0.038867609,0.774153659
0.3,0.009596109,0.016030588,0.073592806,0.864749439
0.3,0.000965028,0.013906416,0.059463607,0.827829802
0.3,0.001020347,0.002214324,0.045091909,0.790352807
0.3,0.011333201,0.008257905,0.082096333,0.886641001
0.3,0.028970511,0.019710855,0.100515991,0.934456469
0.3,0.010817333,0.037024426,0.093375702,0.915967738
0.3,0.002589608,7.91E-06,0.058115157,0.824029339
0.3,0.003159027,0.012863321,0.062947867,0.836560893
0.3,0.029063307,0.006741701,0.057207774,0.821871881
0.3,0.005210819,0.01755618,0.087790338,0.901458508
0.3,0.027061707,0.010942282,0.088393574,0.903108
0.3,0.023347863,0.034138028,0.054653276,0.815096908
0.3,0.009858864,0.000916128,0.081496255,0.884589161
0.3,0.010178675,0.010300553,0.10159417,0.93695194
0.3,0.011131013,0.019675561,0.062295993,0.83492374
0.3,0.016846629,0.006361541,0.0370882,0.769729121
0.3,0.000572251,0.006768021,0.076312032,0.871872989
0.3,0.012215583,0.003516774,0.070598041,0.856323586
0.3,0.003605902,0.010666922,0.044123488,0.787959645
0.3,0.005371274,0.024595589,0.084044306,0.891970316
0.3,0.020400425,0.001280085,0.088494807,0.90271962
0.3,0.02457035,0.018451343,0.055925268,0.818635341
0.3,0.018774767,0.024011153,0.036862418,0.769035509
0.3,0.006149359,0.002642505,0.099709766,0.932355623
0.3,0.006356884,0.003453789,0.069853786,0.854490994
0.3,0.014372001,0.021625629,0.097066948,0.925476261
0.3,0.002944007,0.020990332,0.049148941,0.801038723
0.3,0.013168688,0.010648146,0.09792537,0.927830552
0.3,0.001696707,0.011475324,0.084740019,0.89363142
0.3,0.003947533,0.003961435,0.052743444,0.810321652
0.3,0.011977737,0.005609288,0.08591438,0.896727327
0.3,0.002463235,0.015438197,0.101419389,0.936573103
0.3,0.011558737,0.028676346,0.072900289,0.863037821
0.3,0.020966171,0.018299968,0.071697375,0.859410687
0.3,0.0171916,0.03097324,0.049951398,0.803081985
0.3,0.016155695,0.020791005,0.047180931,0.795878772
0.3,0.00260425,0.022659344,0.089657882,0.906434926
0.3,0.001744158,0.001155504,0.082389466,0.887733212
0.3,0.007200471,0.007230484,0.10165794,0.937333634
0.3,0.028059279,0.002513921,0.101146554,0.93602766
0.3,0.017723688,0.039095213,0.065093149,0.842179237
0.3,0.013441172,0.007840072,0.070868497,0.85775529
0.3,0.001461946,0.005595166,0.099471794,0.931481697
0.3,0.001019824,0.022211088,0.048644543,0.799543835
0.3,0.004292194,0.012392466,0.090972187,0.90977634
0.3,0.010602836,0.010411813,0.101719128,0.937450255
0.3,0.001188843,0.004650116,0.056729095,0.820529266
0.3,0.008077408,0.033409379,0.042166284,0.782950011
0.3,6.70E-05,0.002177094,0.037956392,0.772000902
0.3,0.035839946,0.008326182,0.096788294,0.924697777
0.3,0.005807812,0.00637284,0.079731949,0.880774728
0.3,0.006671831,0.03605839,0.069300543,0.853260726
0.3,0.015790506,0.030338111,0.042213283,0.783042225
0.3,0.008786011,0.019116568,0.090706152,0.90911546
0.3,0.001088747,0.006768243,0.074460504,0.866964562
0.3,0.00439607,0.016148954,0.037469408,0.770818205
0.4,0.022874599,0.043887375,0.039162446,0.961929661
0.4,0.023041498,0.005964106,0.050047157,0.961111732
0.4,0.025537085,0.004385082,0.043722349,0.961696751
0.4,0.024318857,0.001428389,0.06611906,0.959708712
0.4,0.032083416,0.045628203,0.036051313,0.962216438
0.4,0.007726614,0.012249899,0.053106444,0.960669946
0.4,0.028629934,0.036690901,0.053557656,0.960769423
0.4,0.000724118,0.077729236,0.038021733,0.962151224
0.4,0.003376124,0.086039687,0.061225211,0.960147371
0.4,0.006876346,0.023937826,0.037773482,0.962175617
0.4,0.026490158,0.000501219,0.069010912,0.959603476
0.4,0.012826405,0.055630449,0.045734891,0.961416894
0.4,0.022635605,0.001120355,0.043299441,0.961421204
0.4,0.007166283,0.035606623,0.062087196,0.960087616
0.4,0.021092228,0.019480359,0.059974806,0.960139395
0.4,0.007784643,0.006258021,0.041184097,0.961887024
0.4,0.00821823,0.041294754,0.049666184,0.961188805
0.4,0.008166143,0.000265026,0.05709409,0.960409921
0.4,0.002043801,0.048896445,0.064701684,0.959958986
0.4,0.01118807,0.000372159,0.040785249,0.961899351
0.4,0.018368528,0.021002906,0.067381168,0.959797317
0.4,0.000406344,0.004424244,0.037819045,0.962004915
0.4,0.003377186,0.037463211,0.041311898,0.961594888
0.4,0.016874012,0.019773359,0.062588086,0.959927085
0.4,0.013215885,0.049229409,0.049234801,0.961195864
0.4,0.009713363,0.06573398,0.037194945,0.961866343
0.4,0.007528481,0.065301207,0.049215039,0.961171435
0.4,0.00507077,0.01545025,0.067037215,0.959707803
0.4,0.04649908,0.013104752,0.054063858,0.960797379
0.4,0.008049013,0.006848648,0.052436637,0.961172024
0.4,0.002317314,0.027498317,0.054646195,0.9606908
0.4,0.055405672,0.010662498,0.037492887,0.962101413
0.4,0.026251224,0.0117174,0.041300884,0.96173543
0.4,0.018583884,0.047019593,0.061368127,0.960118296
0.4,0.01411,0.020631617,0.036101199,0.962071071
0.4,0.035749961,0.016988418,0.048664804,0.961196943
0.4,0.04926103,0.01012839,0.047961974,0.961332435
0.4,0.004033302,0.01726003,0.066012531,0.959693875
0.4,0.016556383,0.027189753,0.036444516,0.962269148
0.4,0.006887621,0.019043439,0.062632386,0.960056101
0.4,0.006403529,0.008687953,0.0689956,0.959592256
0.4,0.03422648,0.041326962,0.066022829,0.959803075
0.4,0.007525754,0.00969786,0.056707178,0.960466262
0.4,0.005717206,0.034585719,0.068526403,0.959619711
0.4,0.005146652,0.022327362,0.050727913,0.960905471
0.4,0.016037872,0.004589835,0.057836667,0.960529011
0.4,0.006693764,0.02278232,0.065305681,0.959801373
0.4,0.017724457,0.026082593,0.046289471,0.961199509
0.4,0.006099494,0.032205357,0.036613009,0.962253432
0.4,0.003333581,0.004621877,0.040432531,0.961813868
0.4,0.008831912,0.016528462,0.058592705,0.960229623
0.4,0.006581146,0.057444239,0.056050357,0.960495433
0.4,0.019170823,0.047152318,0.058974793,0.960352879
0.4,0.030713054,0.030071885,0.043335312,0.961548749
0.4,0.031517607,0.003990793,0.043002241,0.961828347
0.4,0.005030911,0.025430808,0.060331787,0.960208185
0.4,0.016666335,0.031304884,0.046456504,0.961220391
0.4,0.006521056,0.039120171,0.036087968,0.961966589
0.4,0.037196909,0.009475104,0.056312752,0.960572171
0.4,0.007647682,0.023369597,0.069487642,0.9595844
0.4,0.01702757,0.0357565,0.049333839,0.961246209
0.4,0.02559372,0.031383302,0.052102586,0.960809161
0.4,0.019821426,0.011923772,0.06582151,0.959844449
0.4,0.006110721,0.001751742,0.045306577,0.96155335
0.4,0.024367898,0.037447107,0.042836553,0.961425957
0.4,0.014450925,0.026417626,0.059669556,0.960365365
0.4,0.041305597,0.021290626,0.069613713,0.959426778
0.4,0.000379812,0.006389247,0.037097994,0.962244064
0.4,0.008232373,0.041470989,0.052407102,0.960789448
0.4,0.010026024,0.001637181,0.038505135,0.961957553
0.4,0.001559023,0.011637201,0.063199722,0.959943875
0.4,0.006523544,0.028545868,0.03801492,0.962268339
0.4,0.038189479,0.027428727,0.0449319,0.961451282
0.4,0.031980277,0.006377279,0.061308368,0.960164043
0.4,0.015229785,0.035418855,0.044310696,0.961645426
0.4,0.018593067,0.046791519,0.036178538,0.962101799
0.4,0.038861017,0.040236919,0.051133907,0.960844695
0.4,0.00647728,0.067269444,0.051527348,0.960949176
0.4,0.002715189,0.026619407,0.062823584,0.960090135
0.4,0.037366334,0.026409062,0.064249002,0.959945673
0.4,0.013616636,0.07326351,0.042393182,0.961707456
0.4,0.028134931,0.001493085,0.046123228,0.961528801
0.4,0.008136619,0.004557615,0.036069803,0.962320363
0.4,0.021441485,0.045490077,0.036283861,0.962325639
0.4,0.019331465,0.051119961,0.054918247,0.960553219
0.4,0.014500142,0.047396917,0.052205293,0.960815467
0.4,0.026428949,0.0031258,0.037125597,0.961862797
0.4,0.012817319,0.015778556,0.063490762,0.959928383
0.4,0.001376169,0.004918136,0.04169584,0.961800967
0.4,0.01731329,0.02854545,0.036005872,0.962350328
0.4,0.01850829,0.036500646,0.059267816,0.960280013
0.4,0.010502052,0.051372828,0.066821743,0.959802969
0.4,0.034514296,0.001334679,0.069027226,0.959614378
0.4,0.030581876,0.041398107,0.038637237,0.961876442
0.4,0.008458578,0.021023886,0.047501947,0.961392647
0.4,0.007457638,0.014176865,0.052734752,0.960895182
0.4,0.009261028,0.016763284,0.066811001,0.959844064
0.4,0.007785177,0.039619159,0.041779995,0.961760371
0.4,0.043511186,0.008018924,0.050283625,0.961047303
0.4,0.002071058,0.006937743,0.069301044,0.959486686
0.5,0.01960807,0.075745299,0.088699836,0.996788252
0.5,0.001256127,0.039614356,0.063067963,0.992788031
0.5,0.009050652,0.130393599,0.078253067,0.995117316
0.5,0.005742261,0.009353536,0.025238649,0.986721207
0.5,0.02658225,0.079587215,0.096304128,0.997874425
0.5,0.016223267,0.016657854,0.055727884,0.991506549
0.5,0.014794525,0.062981253,0.05483235,0.991499224
0.5,0.028722956,0.023518819,0.091630929,0.997263096
0.5,0.015749955,0.039394328,0.036749639,0.988642122
0.5,0.006864524,0.03910851,0.091856937,0.997400917
0.5,0.021565502,0.086376505,0.018236702,0.98580711
0.5,0.033429931,0.08258386,0.073830415,0.994242337
0.5,0.017658148,0.087907941,0.079714114,0.994937059
0.5,0.050988735,0.05583229,0.034644518,0.988386601
0.5,0.001741248,0.039270363,0.039603425,0.989028058
0.5,0.036150533,0.024934506,0.08448123,0.996073275
0.5,0.01061685,0.07804809,0.064454084,0.992913137
0.5,0.015494203,0.076365955,0.046412099,0.990068938
0.5,1.10E-05,0.092002509,0.028557599,0.987455384
0.5,0.012469137,0.114519209,0.085241662,0.996218972
0.5,0.026836907,0.034899079,0.022226165,0.986508277
0.5,0.056691694,0.122517459,0.092298869,0.997204132
0.5,0.031421366,0.087604043,0.084034291,0.995734104
0.5,0.00973902,0.117226649,0.033449815,0.987981294
0.5,0.01141648,0.051166439,0.064887354,0.993101339
0.5,0.007137729,0.095488172,0.093386041,0.997240024
0.5,0.038089147,0.076840071,0.065774368,0.992937351
0.5,7.58E-05,0.066917097,0.022857915,0.986525735
0.5,0.012386929,0.057985487,0.053457029,0.991363783
0.5,0.01056662,0.018172965,0.058049055,0.992097347
0.5,0.024751516,0.102926082,0.052266213,0.991089664
0.5,0.002733069,0.088710643,0.093021176,0.997397818
0.5,0.011187368,0.040233449,0.084362635,0.995832382
0.5,0.011868681,0.021014396,0.036343117,0.988522521
0.5,0.016606383,0.076894832,0.096146526,0.997711271
0.5,0.000525638,0.11083899,0.066181042,0.993252636
0.5,0.012875287,0.121569344,0.068663021,0.993450608
0.5,0.016311552,0.072081407,0.025429259,0.9868211
0.5,0.011811231,0.056899026,0.095108884,0.997761367
0.5,0.039285397,0.121778513,0.033409259,0.988124577
0.5,0.00990144,0.083526716,0.018406857,0.985848513
0.5,0.009634178,0.03357063,0.025458342,0.986870994
0.5,0.031141363,0.104749349,0.047229551,0.990231596
0.5,0.011397871,0.097332682,0.019469047,0.985893952
0.5,0.048174764,0.043717636,0.062027459,0.992203438
0.5,0.010063851,0.075539845,0.044575289,0.989959688
0.5,0.016790694,0.070676121,0.027094368,0.987094729
0.5,0.004441143,0.030478138,0.07242876,0.9938257
0.5,0.01030983,0.030232599,0.094904311,0.997793814
0.5,0.008992074,0.077108108,0.086254009,0.996208506
0.5,0.014732779,0.090573125,0.043030205,0.989543248
0.5,0.028131051,0.042414827,0.048881339,0.990461937
0.5,0.012900842,0.066424302,0.041777705,0.98940403
0.5,0.029321426,0.07366593,0.079266885,0.995113909
0.5,0.005453733,0.053888615,0.080021692,0.995376182
0.5,0.009618406,0.068810302,0.03879451,0.988903747
0.5,0.051965195,0.049565905,0.071604294,0.994040892
0.5,0.038573386,0.092855445,0.096149872,0.997680303
0.5,0.009397028,0.048898981,0.048044091,0.990440882
0.5,0.000264173,0.066507245,0.017273606,0.985635404
0.5,0.011284531,0.099979582,0.065427529,0.992917289
0.5,0.006425513,0.101600649,0.058275599,0.992003748
0.5,0.012336854,0.080113891,0.025869384,0.987005957
0.5,0.022213382,0.080747037,0.074899142,0.994517174
0.5,0.001406947,0.070355445,0.080132332,0.995239911
0.5,0.052015937,0.072798264,0.04023117,0.989242615
0.5,0.021387685,0.048990606,0.017016634,0.985547688
0.5,0.004352473,0.003000679,0.093860779,0.997595203
0.5,0.028532029,0.05824021,0.057331575,0.991853387
0.5,0.03368175,0.068206306,0.090744812,0.996848629
0.5,0.063580539,0.063359935,0.032006693,0.987910643
0.5,0.030370803,0.106527531,0.09180893,0.997329127
0.5,0.007014382,0.014116487,0.075732034,0.994471977
0.5,0.004403807,0.015776376,0.036387037,0.988587496
0.5,0.024576011,0.058796221,0.077080756,0.994870343
0.5,0.016711446,0.057272265,0.095952511,0.997854737
0.5,0.013788538,0.036344766,0.061335761,0.9920814
0.5,0.014745401,0.072271498,0.059583613,0.992243358
0.5,0.054276716,0.075163796,0.033014073,0.988161188
0.5,0.037179421,0.07512574,0.029577088,0.987490837
0.5,0.025204705,0.012685381,0.081700924,0.995527509
0.5,0.001776722,0.111394048,0.072869278,0.99422262
0.5,0.026730294,0.099600728,0.096202771,0.997991642
0.5,0.011307913,0.118937469,0.095594675,0.997900797
0.5,0.001371213,0.017347905,0.05153131,0.990889506
0.5,0.018304284,0.079915363,0.058828163,0.991656679
0.5,0.026589158,0.091476933,0.093542307,0.997271947
0.5,0.033676537,0.005689601,0.031381968,0.987763175
0.5,0.003683913,0.120498048,0.083282368,0.995800625
0.5,0.039670021,0.073590961,0.096274103,0.99798709
0.5,0.030626126,0.091836768,0.041314001,0.989312831
0.5,0.000588918,0.081693482,0.023465382,0.986629938
0.5,0.049464088,0.105116129,0.018339986,0.985802257
0.5,0.027247989,0.092765371,0.090350669,0.996778243
0.5,0.00176518,0.102277935,0.069484758,0.993713492
0.5,0.016203094,0.021547414,0.056651463,0.991862642
